性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
男性,25-29,不是很好,我今天过得不好,我感觉像废话,,,,,,,成为别人的救世主对你来说很重要，这对你有好处吗？,谢谢你，让我们再回想一下你的这种感觉。你会说你是一个受害者，你会因为你的感受而责怪别人吗？,在回答下一个问题之前，请尝试深入了解您与他人的关系。你觉得你在试图控制某人吗？,我想让你停顿一下，想想你是否总是在出现问题时责备自己？,在之前的谈话中，你有没有停下来倾听并考虑其他提出的意见？,看看您的个人生活，您是否觉得自己正在经历个人危机（与亲人有困难，例如与朋友吵架）？,我对这个世界感到厌恶,一点都不好！,我怎么会在这种情况下？,,,,,,,看看你自己，你是否相信你现在的情绪是因为你渴望成为别人的救星？,你认为你的感觉是因为你把你的感觉有多消极而责怪别人吗？,你有没有停下来想过，如果你有这种感觉是因为你试图控制某人，然后发现你真的是？,你有没有想过这种不好的感觉是否是因为你总是在出现问题时责备自己并指责自己？,老实说，当别人向您提出意见时，您是否真的觉得您总是会考虑并尊重他人的意见？,如果您不介意我问一下，您是否正在经历个人危机，或者您是否与所爱的人有困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,18-24,不好,我感到沮丧,我不知道我的感受,,,,,,,你认为自己是别人的救星吗？,明白了，谢谢你认为自己是别人的受害者吗？,你有没有觉得你在试图控制某人？,也许你会说，当出现问题时，你总是责怪自己？,在谈话中，你通常会考虑其他人的观点吗？,你和你爱的人有什么困难吗？,我生气,我他妈不知道,我想打人,,,,,,,你认为自己是别人的救世主，还是觉得自己对生活中的某个人过于负责？,你认为自己是别人行为的受害者吗？,你有没有觉得你试图让某人处于你的控制之下？,当出现问题时，你是否经常责备自己？,在之前与您生活中的人的讨论中，您是否检查并采纳了与您自己不同的任何观点？,请问此时此刻您与亲人是否有重要的问题，或其他重大问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,不太好，这是同一个狗屎不同的日子。,她就是不和我说话了，我不知道该怎么办。,我想我很沮丧，我只是累了……你知道吗？厌倦了这一切。,,,,,,,你认为别人的问题应该是你要解决的问题吗？,你认为这是别人的错，有没有人让你感觉不好？,您是否认为自己可能会过度参与，试图控制不该控制的人？,你是否总觉得问题是你自己的错？,你有没有退后一步，从各个角度考虑，站在别人的角度看你的情况？,你现在的生活中有什么重大的个人问题吗？,我对我的父母很生气，他们总是试图控制我。,我不敢相信她欺骗了我，我现在非常受伤和生气。,我的老板一直在贬低我，我再也受不了了。,,,,,,,你觉得你是在试图拯救某人，干预他们的行为吗？,有没有人会因为你的感受而受到责备？,你认为这种情况，以及其中的人，是你试图支配的东西吗？,当事情出错时，你是否觉得总是你的错？,你有没有站在对方的角度，站在对方的角度看这个情况？,请问你现在的生活有什么大问题吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,我今天有点不高兴。,我今天过得很糟糕。,今天和男朋友吵架了,,,,,,,你觉得有人需要你的帮助吗？,你觉得这些情况是别人行为的错吗？,你是否觉得自己正试图为别人的行为负责？,您是否觉得自己在对自己进行评判，并在逆境中总是责备自己？,您认为还有其他方法可以查看这种情况吗，其他人的建议是否可以帮助您找到它？,您现在是否正在经历艰难时期，是否与朋友或亲人闹翻了？,我对上周在工作中发生的事情感到很生气。,我在想我最近和妈妈吵架，这让我很生气。,我很生气我的老板不让我加薪。,,,,,,,你是否试图以牺牲自己的幸福为代价来帮助别人？,你会说是别人让你有这种感觉吗？,你觉得你最近需要为别人的行为负责吗？,当负面事件发生时，你是否总是把额外的责任归咎于自己？,你认为还有另一种方式来看待这种情况吗？,我想知道您现在是否正在经历特别困难的时期。,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我很沮丧，我今天应该去看我爸爸，但他不得不重新安排时间，我很想念他。,我感到沮丧，因为我找不到放松的方法。,我很难过。我的狗死了，我无法承受伤害。,,,,,,,忠诚和乐于助人总是美好的美德，但是，如果我们开始忘记自己的幸福，它们就会变得不健康。您认为专注于帮助他人比成长和专注于自己更重要吗？,您是否认为其他人正在让您做某事，或者正在以某种方式伤害您？,当涉及情绪时，总是很难保持客观，但如果可以的话，我希望你尝试一下。你是否觉得你总是更关注别人在生活中所做的事情，而不是你在生活中所做的事情？,在面临挑战或对抗性的情况时，您是否倾向于将事情个人化，总是将所有责任归咎于自己？,回想以前的情况和与他人的对话，您是否曾经跳出思维过程并思考可能挑战您的观点？,您在个人生活中是否遇到任何困难或面临危机？,我生自己的气。,我很生气我的老板写信给我。,我以前从来没有这么生气过，我只是被诬告偷窃。,,,,,,,你认为在你生命的这一刻，你应该专注于拯救别人吗？,有时别人让我们受苦，但有时可能是我们逃避为自己的行为和选择承担责任。你觉得你因为别人而受苦吗？,老实说，您是否认为自己将时间和精力集中在控制他人的行为上？,当出现问题时，您是否觉得自己总是要承担所有后果？,你有没有花时间考虑过你的观点之外的其他观点？,您是否正面临个人危机，或者您是否与家人、朋友或亲人闹翻了？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,一点都不好，我只是丢了工作。,没有什么是我的方式，我从来没有足够的钱做一切。,糟糕的。汽车无法启动，这真的让我失望。,,,,,,,,我想知道你是否感到被周围的人理解或对抗；这对我能够帮助你很重要。你认为你周围的人理解你还是他们实际上是问题的一部分？,你觉得让别人控制自己很舒服吗？,当你情绪低落时，你是否总是为生活中的错误而责备自己？,过去，在与他人交谈时，您是否站在他们的立场上？,您是否觉得在日常生活中与亲近的人有麻烦？,生气了，彻底结束了这一切。我刚出去工作。,生气又生气。我周围没有人在听我说话。,一点都不好。我很生气，刚刚和我的伙伴吵架了。,,,,,,,你有没有觉得你总是试图照顾别人，而不是你自己？,我理解你很生气，你很受伤。你认为你周围的人正在造成你正在经历的负面情绪吗？,如果我问你这个，你觉得你需要控制吗？,您是否总是觉得自己是造成问题的人？,你有没有从别人的角度看情况，你觉得有用吗？,你会说你的大部分问题都围绕着你现在最亲近的问题吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,18-24,我感觉不太好，我被诊断出得了一种可怕的疾病。,我今天很伤心，昨晚我失去了一位亲爱的朋友。,我感到非常难过，我出了车祸，我的车抛锚了。,,,,,,,你相信即使牺牲自己的幸福，你也能帮助别人吗？,你是否觉得有人对你的负面情绪负有部分责任？,你是否在不知不觉中试图控制你周围的人？,即使是不公平的，您是否总是倾向于为生活中发生的所有不好的事情责备自己？,每当有人向您提出这些观点时，您是否尝试过仔细查看其他人的观点？,现在，在你的朋友或家人圈子里，有什么事情困扰着你吗？,请别打扰我,不要打扰我,像个傻逼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我感觉不太好，昨天和朋友闹翻了,我现在感觉不太好我很伤心,我在我的生活中感到孤独所以我很伤心,,,,,,,你认为，也许，帮助自己也可以帮助别人？,你的处境是否让你觉得好像别人有错？,,您是否总是不公平地要求自己为发生在您身上的事情负责？,,您是否感到与周围的人隔绝，或者您的安全处于某种危险之中？,我不好是因为我的朋友欺负我,我不好，想到我的孩子我很生气,我对我的老板很生气，因为他咄咄逼人,,,,,,,,你觉得你的负面情绪可能是由其他人引起的吗？,在你的生活中，有没有人试图影响他的意见？,您是否觉得意外情况总是要归咎于您？,你认为你能把你的愿景变成另一个观点吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我有点沮丧。,我不享受自己。,我不想做任何事情。,,,,,,,你是否感到为他人的命运承担责任？,你是否觉得自己受到了伤害，是别人的错？,您是否有可能在强力影响他人的决定和行为？,想一想，你会不会说遇到问题时总是自责？,您是否充分考虑了过去与之交谈的人的观点？,您是否在人际关系中遇到困难（例如与朋友的失败）？,到目前为止，我讨厌我的一天。,今天一切都糟透了。,今天正在失去我的耐心。,,,,,,,你觉得有责任解决别人的问题吗？,你是否觉得自己受到了别人的负面影响？,您是否认为有人没有给您应得的自由，而您必须说服他们？,当事情没有按计划进行时，你是否总是让自己感觉很糟糕？,您是否考虑过其他人在您之前与他们的对话中会如何看待事物？,或许，您的人际关系是否正在发生戏剧性的变化（例如，与朋友或亲人相处不好）？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,不是很好。我只是觉得空虚。,有待改善。我的妻子和家人最近似乎很疏远,有点难过。我父亲最近去世了。,,,,,,,你觉得你被期望去拯救别人吗？,请问您现在是否觉得自己是受害者，而其他人要为您的悲伤负责？,你有没有发现自己责怪或控制你周围的人？,当事情出错时，你是否发现自己总是承担责任？,你会诚实地说你对别人的观点持开放态度吗？,如果你不介意我问这个，家人、朋友有什么问题吗？,不是很好。我想辞掉我的工作。,我觉得很烦躁。,我正在被迫害。,,,,,,,你发现自己相信你必须拯救别人吗？,如果我问，你有没有发现自己因为你的感受而责怪别人？,你是否经常发现自己试图控制别人？,当事情出错时，您是否发现自己总是要承担责任？,你容易考虑别人的观点吗？,你现在是否发现自己压力很大，与同事、朋友或家人有问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,18-24,我感觉不好。我发烧了。,由于和朋友吵架，我很沮丧。,我无法集中注意力，感到孤独。,,,,,,,你相信有值得你拯救的人吗？,你认为有人要为你的负面情绪负责吗？,如果你想一想，你现在想要控制你生活中的某个人的力量吗？,当你的生活出现问题时，你是否认为总是你的错？,你觉得在之前的谈话中你是否充分考虑了其他观点？,你正在经历艰难的时期，还是个人危机？如果是这样，你可以告诉我。,我今天真的很生气。,这是非常糟糕的一天。,我朋友的行为让我很生气。,,,,,,,您是否自费让他人安全？,你现在是否因为别人而感到难过？,你会说你可能试图控制某人吗？,你是否觉得，在内心深处，你总是为发生的任何不好的事情而对自己大喊大叫？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我真的很沮丧，很沮丧，我在任何地方都找不到工作。,我失去了动力，似乎永远无法提高我的成绩，我很难过。,我觉得很糟糕，我的女朋友甩了我，现在我没有人了，我真的很沮丧。,,,,,,,你觉得你可以做些什么让别人变得更好吗？,您是否觉得您对此不承担任何责任，而其他人应该为伤害您而负责？,是否涉及权力斗争，需要有人获胜？,您是否总是觉得自己是错的人，即使您不应该这样做？,你通常能把自己放在别人的位置上吗？,请问你最近压力大吗？,我像大黄蜂一样生气，我想打人。,我总是被踢倒，我真的很生气！,受够了被虐待，我从来没有这么生气过！,,,,,,,你有没有觉得你更关心别人的需要而不是你自己的需要？,是不是有时，您将自己犯下的错误归咎于他人，或者倾向于逃避内疚？,,您是否通常觉得自己应该做一些不同的事情，您是否经常质疑自己的行为？,您是否能够在不立即判断或争论的情况下查看其他观点？,我想知道您的生活总体情况如何。最近有没有什么重大的令人痛心的事件或挑战？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我真的很郁闷。我所做的一切都不值得。,真的不好。我想我的婚姻结束了。,我每天都很难过，自从那次事故后我一直很痛苦。,,,,,,,你是否觉得你的行为是在试图解决问题、帮助某人或使事情对某人有利？,有没有其他人让你难过？,你觉得你可能试图影响或改变别人的行为吗？,请告诉我，当事情出错时，你总是把责任推给自己吗？,谢谢你的回答。您是否能够考虑在之前的对话中向您提出的替代观点和意见？,在您的个人生活中，您目前正在经历什么特别困难的事情吗？,我真的很生气，我今天在工作中无法完成任何事情。,生气了，我的朋友真的很烦人。,生气的。工作中的人期望我做任何事情！,,,,,,,你认为你的感情可能是因为你试图用你的行为帮助、拯救或救赎别人吗？,没关系，谢谢你让我知道。您是否觉得，也许是某人或某事引起了您的负面情绪？,你认为你的行为会被别人认为是控制吗？,当出现问题时，您是否总是觉得自己应该受到责备？,你真的觉得你在之前的谈话中总是能够考虑其他观点吗？,请问，您目前是否有任何具体的个人或情感上的困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我今天很伤心，似乎什么都不对。,我失去了所爱的人，从那以后我就没有真正感到快乐。,我真的很沮丧，我感到沮丧，没有动力。,,,,,,,请问您是否相信将他人从问题中解救出来是您自己的责任？,非常感谢您的回答。我现在想问你，你是否认为自己是这种情况的受害者，而你的痛苦感觉应该归咎于其他人。,再次感谢，这对我的理解很有帮助。可能是你试图控制或操纵别人做你想让他们做的事情？,我明白了，谢谢你花时间回答这个问题。请问您是否觉得自己有一种总是将问题归咎于自己的倾向？,你是说在之前的谈话中，你总是倾听别人的观点，花时间仔细考虑他们的观点吗？,感谢您到目前为止的回答。请问您现在是否觉得自己正在经历个人危机，或者您是否正在与周围的人遇到难以处理的人际关系困难？,我现在很生气，我不敢相信我被当成了傻子。,我真的，真的很生气。我觉得我可以炸了。,我对我的伴侣对我撒谎感到生气。,,,,,,,如果我问，在这种情况下，您是否觉得自己是在努力拯救或拯救其他人？,谢谢您的回答。我现在想问你，你是否觉得自己是受害者，让你有这种感觉应该怪别人。,再次感谢您帮助我了解情况。您是否有可能试图控制或操纵生活中的其他人？,我明白了，谢谢你的耐心。如果可能的话，我想知道您是否认为每当发生不好的事情时，您可能总是倾向于责备自己。,你会说你在之前的谈话中一直考虑其他观点，充分考虑其他人的意见和建议，而不是让他们闭嘴吗？,如果我问，您是否觉得您与朋友、家人或亲人遇到了难以控制的困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
